EID,type,material,stress_landing,stress_taxi,stress_lateral,stress_vertical,stress_pressurization,life,log_life
13371,skin,1,2.133089,1.457761,4.20456,3.535095,2.317314,25233.60164575,4.401979242718949
13372,skin,1,1.989522,0.955045,3.906374,4.297581,3.607441,6694.8129481625,3.82573844740991
13373,skin,1,2.313757,1.170588,3.659019,4.648396,3.964192,3564.547136925,3.552004362118462
13374,skin,1,2.433308,1.368516,3.659206,4.487182,3.551622,5568.512219475,3.7457391770083936
13375,skin,1,2.104979,1.028522,3.98666,4.071701,3.229598,11445.46125435,4.058633299516672
13376,skin,1,2.881431,1.700927,3.552983,4.532546,3.168568,6195.5077919125,3.7920769075139855
13377,skin,1,3.221258,2.013499,3.593799,4.990165,3.440018,2879.27867645,3.459283700927869
13378,skin,1,3.33235,2.1451,4.06156,5.02882,3.492348,2753.789072675,3.4399306722747607
13379,skin,1,3.681086,2.485132,5.072486,6.385067,4.60031,364.1098940925,2.561232480338487
13380,skin,1,4.058435,2.733298,5.934445,6.998155,5.069214,163.70608457875,2.2140648214392313
13381,skin,1,5.366436,3.976205,4.881481,6.592474,3.451624,382.11491605125,2.5821939909265996
13382,skin,1,3.555804,2.399279,7.409622,7.931648,6.904146,49.026334786125,1.690429426559245
13383,skin,1,4.628503,3.341042,5.055227,6.290648,4.050696,513.9021465475,2.7108804317186177
13384,skin,1,2.616433,1.796372,6.075861,6.502594,6.077094,215.522973115,2.333493569463415
13385,skin,1,4.926835,3.922981,1.983941,3.079534,0.626138,84515.55302225,4.926936637591031
13386,skin,1,3.765893,2.879904,3.191388,4.006745,1.686855,22927.687158875,4.360360247281234
13387,skin,1,1.098599,0.517958,6.688945,6.684232,6.860201,104.372360223,2.0185855044908703
13388,skin,1,1.5027,1.194514,1.752605,1.964653,1.230381,5631168.60155,6.75059853064888
13389,skin,1,0.542791,0.355768,0.312353,0.23972,0.169614,5205212115775.0,12.716438431989415
13390,skin,1,1.158039,0.848284,2.860806,2.936303,2.960738,95698.201194,4.980903774570345
13391,skin,1,0.654903,0.465095,6.827929,6.941525,6.722759,88.417417989375,1.946537828265629
13392,skin,1,-1.932515,-2.2906,2.069383,2.046071,3.489846,5775.8340513375,3.7616147067873884
13393,skin,1,0.275539,0.163195,20.76122,20.99163,20.90394,0.29924513736,-0.5239728980138744
13394,skin,1,0.0931941,0.0653927,6.12868,6.19066,6.146845,217.2365710025,2.336932938999775
13395,skin,1,-2.17247,-2.758648,-0.609645,-1.380231,0.767581,81703215.145625,7.912239147016251
13396,skin,1,-1.109541,-1.850256,6.685308,6.397604,7.850996,24.037633824,1.3808917150879492
13397,skin,1,-2.213185,-2.916268,3.371974,2.319187,5.203365,381.54409308875,2.581544734371092
13398,skin,1,-1.995034,-2.300063,3.119489,2.664944,4.183224,2170.67472495,3.3365947494133965
13399,skin,1,-0.0848787,-0.245707,0.203091,0.501692,0.718664,889425504.17125,8.949109578634426
13400,skin,1,-1.423321,-2.115744,4.519011,3.686466,5.571995,314.51508585125,2.497641481402345
13401,skin,1,-2.046767,-2.619149,4.544717,3.351149,6.631431,83.511522830625,1.9217464031063125
13402,skin,1,-0.976821,-1.650523,4.078216,3.594284,4.966084,881.19133210125,2.945070216532394
13403,skin,1,-1.55637,-2.133938,5.338681,4.628918,6.36016,104.422276286375,2.0187931561016343
13404,skin,1,-0.00704376,-0.787345,7.077802,6.755456,7.56597,40.769570477125,1.6103361360193116
13405,skin,1,-2.030925,-2.418243,2.301705,1.353305,4.259155,2886.3115436625,3.460343206310875
13406,skin,1,0.708737,-0.274675,11.19024,10.84286,11.53435,3.9600784794875,0.5977037927110267
13407,skin,1,-1.5794,-2.13473,6.331231,4.840103,7.882667,30.401455389125,1.4828943748040329
13408,skin,1,0.748086,-0.191366,9.758698,9.523403,10.06011,7.9575498677,0.9007793689014698
13409,skin,1,-0.214263,-1.037559,7.230177,6.756034,8.103485,27.84126847575,1.4446890182757683
13410,skin,1,4.649924,3.774282,9.60268,11.2672,8.912229,6.1269898066875,0.7872471578081978
13411,skin,1,-0.543137,-0.874594,5.153908,3.843565,6.088607,377.0634879975,2.576414480618511
13412,skin,1,-0.556137,-0.734208,4.855993,3.215786,5.753374,638.04843229875,2.804853645933959
13413,skin,1,2.992673,2.043497,7.319879,8.203722,7.039648,34.617041742,1.5392899517537209
13414,skin,1,3.289542,2.300399,7.403811,8.371448000000001,7.026062,31.881998874375,1.5035455421123212
13415,skin,1,1.112674,0.184072,6.333085,6.457204,6.512484,129.4368316525,2.1120578737623514
13416,skin,1,3.243936,2.193724,4.818595,6.288699,4.819252,376.3223461875,2.5755600076841443
13417,skin,1,0.495417,-0.14947,6.914577,5.727124,6.478581,142.875028835,2.1549563310525426
13418,skin,1,0.875045,0.157644,6.759841,6.011572,6.259333,176.6479795475,2.24710867445476
13419,skin,1,3.343501,2.228092,4.07347,5.614094,3.942245,1081.667852345,3.0340939224721417
13420,skin,1,2.375463,1.451463,2.810914,3.820291,2.549387,25814.609882125,4.411865566248606
13421,skin,1,1.768963,0.96498,4.230873,4.472083,3.644533,4933.2259373625,3.693131006218836
13422,skin,1,1.53841,0.832802,5.496221,4.914804,4.241765,1387.5646636125,3.1422532313591907
13423,skin,1,1.859341,1.145542,5.750001,5.063651,4.166074,1134.73256075,3.054893516968319
13424,skin,1,2.066314,1.279985,4.330858,4.499922,3.417094,5532.85199245,3.7429490526970746
13425,skin,1,2.101907,1.32075,4.064374,4.291484,3.128811,8781.3428303625,3.943560932674266
13426,skin,1,3.018205,2.322591,5.371089,5.045226,3.252511,2322.4693885625,3.3659499984607266
13427,skin,1,2.547631,1.739495,4.557089,4.880722,3.540607,3251.7325165,3.5121148138636724
13428,skin,1,3.483316,2.708711,6.130216,6.054402,4.277028,553.72862413625,2.743296974267051
13429,skin,1,3.052151,2.015688,6.583407,6.977503,5.383219,144.628369485,2.160253490070063
13430,skin,1,5.054957,3.992495,6.050632,6.109087,2.898689,655.1258493175,2.8163247357385672
13431,skin,1,3.005363,2.056417,8.045661,8.522417,7.870294,27.47760036025,1.4389788027759207
13432,skin,1,4.474315,3.387554,6.144989,6.368803,4.006315,449.7135246575,2.652935948710478
13433,skin,1,2.176191,1.504977,7.495374,7.729721,7.071107,49.433693596125,1.6940230613708704
13434,skin,1,4.149027,3.27337,4.265903,4.602643,2.253521,7004.7296172875,3.8453913761690695
13435,skin,1,4.159396,3.272212,3.744312,4.131483,1.806164,17887.26230125,4.252543875590117
13436,skin,1,1.415027,0.776787,6.42588,6.690636,6.528364,127.88400928125,2.1068162433443227
13437,skin,1,1.657128,1.276815,2.060259,2.309897,1.356958,1490670.4300375,6.173381636587007
13438,skin,1,0.592564,0.3898,0.610266,0.866614,0.514506,3950662871.2375,9.596669970858835
13439,skin,1,1.076929,0.841922,3.444358,3.518672,3.170878,28340.137169125,4.452401947945665
13440,skin,1,0.727936,0.482197,7.637149,7.646188,7.397305,42.891737197625,1.6323736363548078
13441,skin,1,0.11924,0.10933,20.87258,20.68432,20.64249,0.31526583357625,-0.501323092662529
13442,skin,1,0.0360286,0.0415116,5.845415,5.795029,5.772383,377.08390594375,2.576437996980064
13443,skin,1,-2.639259,-2.666876,0.0557697,-1.100388,0.876163,86415943.845375,7.936593877724891
13444,skin,1,-2.111725,-1.732862,6.861319,6.336613,7.780329,26.49871932675,1.4232248851532006
13445,skin,1,-3.257943,-2.817903,2.677212,2.325759,5.199482,340.66904465625,2.5323326726176307
13446,skin,1,-2.125148,-2.355368,2.824688,2.558857,4.176696,1923.1481990125,3.2840127525345792
13447,skin,1,-0.249677,-0.334064,1.107305,0.417927,0.713388,997257938.2425,8.998807502009894
13448,skin,1,-2.0608,-2.028804,3.842101,3.594121,5.537286,263.4553407325,2.4207070069594585
13449,skin,1,-2.437783,-2.438307,3.989351,3.59051,6.746405,61.9657283235,1.7921515586077243
13450,skin,1,-1.035806,-1.040975,4.800043,4.424859,5.352148,570.60676603125,2.756336917045233
13451,skin,1,-2.269649,-2.465643,2.845841,2.723423,5.506808,258.06072,2.4117219046388545
13452,skin,1,-0.131505,-0.230753,7.845356,7.639091,7.948206,29.777154187125,1.4738831897262663
13453,skin,1,-2.042614,-2.406569,1.811125,1.555144,4.379157,1410.5551967625,3.1493900853019814
13454,skin,1,-0.0473399,-0.336078,10.81681,10.76919,11.51311,3.75800162855,0.5749569639683719
13455,skin,1,-1.73085,-2.19501,4.603611,4.637715,7.766835,24.094944703,1.3819259339487224
13456,skin,1,0.190652,-0.22073,9.499496,9.44116,10.02611,7.62644732835,0.8823222751753104
13457,skin,1,-0.509921,-1.054322,6.751748,6.667681,8.062897,25.513224589875,1.4067653521059276
13458,skin,1,3.730885,3.87837,12.23649,11.48708,9.036457,4.624639433925,0.6650778780564525
13459,skin,1,-0.347414,-0.911078,3.282927,3.689822,5.922801,206.3185379,2.314538251463092
13460,skin,1,-0.270045,-0.779981,2.569898,3.012782,5.566998,303.04828898875,2.481511836325431
13461,skin,1,2.311082,2.060125,8.736588,8.280406,7.101012,26.820402234,1.4284652868152332
13462,skin,1,2.632055,2.302866,8.726107,8.372849,7.028871,27.055290893375,1.4322522077459032
13463,skin,1,0.896557,0.123029,6.250762,6.315061,6.438787,144.31282996,2.159304943242756
13464,skin,1,2.742888,2.30163,7.159821,6.509262,4.969828,176.5042355375,2.2467551315283356
13465,skin,1,0.940241,-0.129257,4.441963,5.503499,6.243502,128.59541404625,2.109225481108261
13466,skin,1,1.257956,0.154526,4.863991,5.80337,6.102967,199.46032388125,2.2998565199069416
13467,skin,1,2.694571,2.019705,6.293427,5.748904,4.248434,565.19205962625,2.7521960518235
